"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1790266553726095663","Tue May 14 06:23:02 +0000 2024","0","BREAKING NEWS! Banjir Bandang Terjang Sumbar | Selasa 14 Mei 2024 https://t.co/5r4uqIKZZ0","1790266553726095663","","","in","Jakarta Pusat, DKI Jakarta","0","1","1","https://twitter.com/SINDOnews/status/1790266553726095663","231355136","SINDOnews"
"1790265347884650690","Tue May 14 06:18:15 +0000 2024","0","FOTO: Perjuangan Tim SAR Cari Korban Banjir Bandang di Sumbar 50 Orang Ditemukan Tewas https://t.co/sYycYsMIZU","1790265347884650690","","","in","Indonesia","0","0","0","https://twitter.com/merdekadotcom/status/1790265347884650690","456426648","merdekadotcom"
"1790264920837410869","Tue May 14 06:16:33 +0000 2024","0","&lt;p&gt;Perbaikan jembatan di beberapa titik ruas-ruas jalan nasional yang amblas dan tidak bisa dilalui menjadi kebutuhan mendesak bagi masyarakat terdampak banjir bandang lahar dingin Marapi di Sumbar&lt;/p&gt; https://t.co/MtXJNCwBpb","1790264920837410869","","","in","Jakarta Capital Region, Indone","0","0","0","https://twitter.com/validnewsid/status/1790264920837410869","874558344593195008","validnewsid"
"1790263286791061762","Tue May 14 06:10:03 +0000 2024","0","BREAKING NEWS! Banjir Bandang Terjang Sumbar 50 Tewas | Selasa 14 Mei 2024 https://t.co/qOXFdSExKj","1790263286791061762","","","in","iNews Tower","0","0","0","https://twitter.com/officialinews_/status/1790263286791061762","132078023","officialinews_"
"1790262290685853913","Tue May 14 06:06:06 +0000 2024","1","Hari Kedua Pasca Banjir Bandang Agam Bantuan Terus Mengalir via @infosumbar https://t.co/7reJfJdgoG #infosumbar #BanjirBandang #Agam","1790262290685853913","","","in","Kota Padang, Sumatera Barat","0","0","0","https://twitter.com/infoSumbar/status/1790262290685853913","162721676","infoSumbar"
"1790261023330689357","Tue May 14 06:01:04 +0000 2024","0","Korban Banjir Bandang di Sumatera Barat Capai 50 Orang Meninggal Dunia https://t.co/xE3qQZmI91 #BanjirBandangSumbar #PrayForSumbar #BencanaAlam #BNPB #SumateraBarat #SolidaritasSumbar #PeduliSesama #RelawanBencana #BantuanKemanusiaan #IndonesiaBersatu","1790261023330689357","","","in","Panakkukang, Indonesia","0","0","0","https://twitter.com/ngopilotong/status/1790261023330689357","1573751399912853504","ngopilotong"
"1790260013644353663","Tue May 14 05:57:03 +0000 2024","0","Sumbar Diterjang Banjir Bandang https://t.co/Z7EjopsvAS","1790260013644353663","","","in","JKT-INA","0","0","0","https://twitter.com/20detik/status/1790260013644353663","598959076","20detik"
"1790256777109619073","Tue May 14 05:44:11 +0000 2024","1","Korban Jiwa Bencana Banjir Bandang di Tanah Datar Berjumlah 5 Orang: Badan Nasional Penanggulangan Bencana (BNPB) memberikan update korban terdampak banjir bandang di Sumatera Barat (Sumbar). https://t.co/1UobI5CyIh","1790256777109619073","","","in","Pulo Gadung, Indonesia","0","0","0","https://twitter.com/tvOneNews/status/1790256777109619073","55507370","tvOneNews"
"1790254300343763315","Tue May 14 05:34:21 +0000 2024","1","#FPIBantuanKemanusiaan Laporan Kegiatan PRI FPI di Lokasi Banjir Bandang Sumbar Senin (13/5/2024) #PrayForSumbar https://t.co/c5QDEcEDIj","1790254300343763315","https://pbs.twimg.com/ext_tw_video_thumb/1790254132642955264/pu/img/GfpkBuhz-TWizq5A.jpg","","in","INA","0","0","0","https://twitter.com/Alumni212Spirit/status/1790254300343763315","1780969174850019328","Alumni212Spirit"
"1790251165239721989","Tue May 14 05:21:53 +0000 2024","0","Banjir Bandang di Sumbar Telan 50 Korban Basarnas Masih Mencari 27 Warga Yang Hilang https://t.co/uruoXU284Q","1790251165239721989","","","in","Bangkalan, Jawa Timur,","0","0","0","https://twitter.com/RadarBangkalan/status/1790251165239721989","1733752884188295168","RadarBangkalan"
"1790248937670217986","Tue May 14 05:13:02 +0000 2024","10","Laporan Kegiatan PRI FPI di Lokasi Banjir Bandang Sumbar 1. pendataan &amp; koordinasi dg wali Nagari 2. Melakukan goro pembersihan rumah Ibadah dll 3. Menyalurkan bantuan dari jemaah &amp; remaja masjid Jami Birugo ke posko Galuang sebyk 4 mobil 4. Penyisiran korban yg blm ditemukan https://t.co/kYjcAYVRuV","1790248937670217986","https://pbs.twimg.com/ext_tw_video_thumb/1790248623806259200/pu/img/H2jo6IZcjQMdqrHY.jpg","","in","","0","0","3","https://twitter.com/Zer0Failed/status/1790248937670217986","1629291797250998272","Zer0Failed"
"1790248507938623858","Tue May 14 05:11:20 +0000 2024","0","Menengok Kondisi Pengungsian Banjir Bandang di Bukik Batabuah Agam via @infosumbar https://t.co/c9BEl6JeuF #infosumbar #Pengungsian #BanjirBandang","1790248507938623858","","","in","Kota Padang, Sumatera Barat","0","0","0","https://twitter.com/infoSumbar/status/1790248507938623858","162721676","infoSumbar"
"1790248497889108137","Tue May 14 05:11:17 +0000 2024","0","Hanya Sisa Pondasi Jhoni Wismar Tetap Kumpulkan Puing Rumah Pasca Banjir Bandang Agam Sumbar #PrayForSumbar https://t.co/nHDSewS0G3 lewat @tribunnews","1790248497889108137","","","in","","0","0","0","https://twitter.com/tribunpadangcom/status/1790248497889108137","1058656201645289473","tribunpadangcom"
"1790247319339991374","Tue May 14 05:06:36 +0000 2024","0","Update Korban Banjir Bandang Sumbar BNPB: 50 Meninggal 27 Hilang: Badan Nasional Penanggulangan Bencana (BNPB) berikan update korban terdampak banjir bandang di Sumatera Barat (Sumbar). Dilaporkan ada 50 orang meninggal dunia https://t.co/UQ3HBZiPvo https://t.co/Aa7iL5iHTx","1790247319339991374","https://pbs.twimg.com/media/GNg8c0waUAA9sP4.jpg","","in","Pulo Gadung, Indonesia","0","0","1","https://twitter.com/tvOneNews/status/1790247319339991374","55507370","tvOneNews"
"1790245658290778449","Tue May 14 05:00:00 +0000 2024","0","Sejumlah daerah di Sumatera Barat (Sumbar) porak poranda akibat bencana banjir bandang sejak Sabtu (11/5/2024). Bencana tersebut juga menewaskan 44 orang. https://t.co/gpWIPxIdUC #PrayForSumbar #sumbar #agam #banjir #gunungmarapi https://t.co/nbi81Fb7Ic","1790245658290778449","https://pbs.twimg.com/media/GNeo2tLaMAElTUL.jpg","","in","DKI Jakarta, Indonesia","0","0","0","https://twitter.com/_rakyatmerdeka/status/1790245658290778449","1474011848118657029","_rakyatmerdeka"
"1790244950736785904","Tue May 14 04:57:12 +0000 2024","0","Pray For Sumbar banjir bandang terjang 4 Kabupaten di Sumbar 41 orang tewas! #GarudaTV #Laporan8 #Sumbar #Banjirbandang https://t.co/SbYo6MeJKI","1790244950736785904","https://pbs.twimg.com/ext_tw_video_thumb/1790241773857677313/pu/img/fEKaR0P9tcq98PMp.jpg","","in","Indonesia","0","0","0","https://twitter.com/garudatvnews/status/1790244950736785904","502140136","garudatvnews"
"1790240090289283475","Tue May 14 04:37:53 +0000 2024","0","Tragisnya banjir bandang Sumbar di Nagari Parambahan Tanah Datar 8 orang meninggal dan 1 orang belum ditemukan https://t.co/5MAVg73cel https://t.co/bQl57OKDNn","1790240090289283475","https://pbs.twimg.com/media/GNg1sTTbkAERkK_.jpg","","in","","0","0","0","https://twitter.com/tribunpadangcom/status/1790240090289283475","1058656201645289473","tribunpadangcom"
"1790239475634958612","Tue May 14 04:35:26 +0000 2024","0","BNPB: Banjir Bandang Sumbar Bencana 20 Tahunan https://t.co/K2HbWeRBQR","1790239475634958612","","","in","Jakarta","0","0","0","https://twitter.com/ntvnewsid/status/1790239475634958612","1758030653344657408","ntvnewsid"
"1790238973828465006","Tue May 14 04:33:27 +0000 2024","0","Pertamina Pastikan Ketersediaan Pasokan Energi di Wilayah Terdampak Bencana Banjir Bandang Sumbar https://t.co/XCoH70e4Hx #EnergizingYou https://t.co/w938rsP8ou","1790238973828465006","https://pbs.twimg.com/media/GNg000VbEAAExzg.png","","in","Jakarta","0","0","0","https://twitter.com/InfoJktCom/status/1790238973828465006","741173384","InfoJktCom"
"1790237257443819549","Tue May 14 04:26:37 +0000 2024","5","27 Warga Sumbar Masih Hilang Pascabencana Banjir Bandang Kini dalam Pencarian https://t.co/n4kFaGoJWE","1790237257443819549","","","in","Indonesia","0","0","0","https://twitter.com/KompasTV/status/1790237257443819549","71436318","KompasTV"
"1790235653478973615","Tue May 14 04:20:15 +0000 2024","1","Banjir bandang sumbar https://t.co/BVBg89FFuA","1790235653478973615","https://pbs.twimg.com/ext_tw_video_thumb/1790235505382338562/pu/img/gAXVyvQ8_gMh5_bW.jpg","","in","London, England","0","0","0","https://twitter.com/seringham62617/status/1790235653478973615","1736274642153918464","seringham62617"
"1789155519003058356","Tue May 14 04:09:09 +0000 2024","0","@bomboloner @whyrsnd Ga ada dosa saya karena saya ga sesama jenis tuh liat banjir bandang lahar dingin di sumbar akibat ulah anda kaum anda yg menormalisasi sesama jenis! Orang ga salah apa2 terkena dampaknya karena Tuhan murka dengan kelakiluan kaum anda !!!","1790232861318246776","","bomboloner","in","","0","0","0","https://twitter.com/moch_ratar/status/1790232861318246776","1470290505137221632","moch_ratar"
"1790231767628276055","Tue May 14 04:04:48 +0000 2024","0","Ketua PKS Sumbar Instruksikan Kepanduan dan Kader Bantu Masyarakat Terdampak Banjir. Bencana banjir bandang yang terjadi di Sumatera Barat (Sumbar) pada Sabtu (11/5/2024) https://t.co/l99hTH2IwL","1790231767628276055","https://pbs.twimg.com/media/GNguRVcakAA_D_s.jpg","","in","Binjai, Sumatera Utara","0","0","0","https://twitter.com/PKSKotaBinjai/status/1790231767628276055","1312945321","PKSKotaBinjai"
